State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes,Received Date,"Effective
  Date",Layoff/Closure,Month-Year,Month,Month name
California,Amazon,Sunnyvale,55.0,2022-12-05,01/17/2023,Layoff Permanent,,,,Santa Clara County,,905 11th Avenue Sunnyvale CA 94089,,,,2022-12,12.0,December
California,Amazon,Sunnyvale,44.0,2022-12-05,01/17/2023,Layoff Permanent,,,,Santa Clara County,,1100 Discovery Way Sunnyvale CA 94089,,,,2022-12,12.0,December
California,Amazon,Sunnyvale,46.0,2022-12-05,01/17/2023,Layoff Permanent,,,,Santa Clara County,,1140 Enterprise Way Sunnyvale CA 94089,,,,2022-12,12.0,December
California,Amazon,Irvine,53.0,2022-11-09,01/04/2023,Layoff Permanent,,,,Orange County,,17871 Von Karman Ave Irvine CA 92614,,,,2022-11,11.0,November
California,Whole Foods Market,Tarzana,117.0,2022-05-02,05/06/2022,Closure Permanent,,,,Los Angeles County,,"18700 Ventura Boulevard, Suite #190, Tarzana CA 91356",,,,2022-05,5.0,May
California,Amazon Logistics - DLA3,Los Angeles,161.0,2021-08-06,09/28/2021,Closure Permanent,,,,Los Angeles County,,,,,,2021-08,8.0,August
California,Amazon Logistics,Los Angeles,161.0,2021-08-06,09/28/2021,Closure Permanent,,,,Los Angeles County,,,,,,2021-08,8.0,August
California,White Glove Logistics LLC - DFA5 (Amazon Station),South San Francisco,39.0,2021-06-03,06/24/2021,Closure Permanent,,,,San Mateo County,,,,,,2021-06,6.0,June
California,Amazon.com Services Inc. - DLA4 facility,Chatsworth,156.0,2021-04-29,06/26/2021,Closure Permanent,,,,Los Angeles County,,,,,,2021-04,4.0,April
California,Whole Foods-Mrs. Gooch'S Natural Foods Market,Vernon,150.0,2013-04-18,,,,,,,,,,,,2013-04,4.0,April
California,Whole Foods Market,Sherman Oaks,59.0,2010-09-09,,,,,,,,,,,,2010-09,9.0,September
California,Apple Inc.,Santa Clara,371.0,,,,,,,Santa Clara County,,3689 Kifer Road Santa Clara CA 95051,04/02/2024,05/27/2024,Layoff Permanent,,,
California,Apple Inc.,Santa Clara,11.0,,,,,,,Santa Clara County,,3000-3008 Kifer Road Santa Clara CA 95051,04/02/2024,05/27/2024,Layoff Permanent,,,
California,Apple Inc.,Santa Clara,23.0,,,,,,,Santa Clara County,,2945 San Ysidro Way Santa Clara CA 95051,04/02/2024,05/27/2024,Layoff Permanent,,,
California,Apple Inc.,Santa Clara,15.0,,,,,,,Santa Clara County,,2975 San Ysidro Way Santa Clara CA 95051,04/02/2024,05/27/2024,Layoff Permanent,,,
California,Apple Inc.,Santa Clara,58.0,,,,,,,Santa Clara County,,1705 Wyatt Drive Santa Clara CA 95054,04/02/2024,05/27/2024,Layoff Permanent,,,
California,Apple Inc.,Santa Clara,49.0,,,,,,,Santa Clara County,,3111 Coronado Drive Santa Clara CA 95054,04/02/2024,05/27/2024,Layoff Permanent,,,
California,Apple Inc.,Santa Clara,35.0,,,,,,,Santa Clara County,,3250 Scott Blvd Santa Clara CA 95054,04/02/2024,05/27/2024,Layoff Permanent,,,
California,Apple Inc.,Santa Clara,52.0,,,,,,,Santa Clara County,,3260 Scott Blvd Santa Clara CA 95054,04/02/2024,05/27/2024,Layoff Permanent,,,
California,Apple Inc.,San Diego,121.0,,,,,,,San Diego County,,4445 Eastgate Mall San Diego CA 92121,01/29/2024,04/26/2024,Layoff Permanent,,,
California,Apple Inc.,Santa Clara,190.0,,,,,,,Santa Clara,,,02/19/2019,04/16/2019,Layoff Permanent,,,
California,"Meta Platforms, Inc.",Fremont,2.0,2023-05-08,06/23/2023,Layoff Permanent,,,,Alameda County,,FRE0001: 6540 Kaiser Drive Fremont CA 94555,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Fremont,18.0,2023-05-08,06/23/2023,Layoff Permanent,,,,Alameda County,,FRE0116: 6623 Dumbarton Cir Fremont CA 94555,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Fremont,34.0,2023-05-08,06/23/2023,Layoff Permanent,,,,Alameda County,,FRE0117: 6611 Dumbarton Cir Fremont CA 94555,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Fremont,26.0,2023-05-08,06/23/2023,Layoff Permanent,,,,Alameda County,,FRE0118: 6591 Dumbarton Cir Fremont CA 94555,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Fremont,12.0,2023-05-08,06/23/2023,Layoff Permanent,,,,Alameda County,,FRE0119: 6520 Kaiser Drive Fremont CA 94555,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Fremont,41.0,2023-05-08,06/23/2023,Layoff Permanent,,,,Alameda County,,FRE0122: 6539 Dumbarton Cir Fremont CA 94555,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Fremont,3.0,2023-05-08,06/23/2023,Layoff Permanent,,,,Alameda County,,FRE0126: 6750 Dumbarton Circle Fremont CA 94555,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Fremont,4.0,2023-05-08,06/23/2023,Layoff Permanent,,,,Alameda County,,FRE6500: 6500 Paseo Padre Pkwy Fremont CA 94555,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Fremont,3.0,2023-05-08,06/23/2023,Layoff Permanent,,,,Alameda County,,FRE6530: 6530 Paseo Padre Pkwy Fremont CA 94555,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Menlo Park,3.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0001: 1 Hacker Way Menlo Park CA 94025,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Menlo Park,6.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0010: 10 Hacker Way Menlo Park CA 94025,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Menlo Park,39.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0012: 12 Hacker Way Menlo Park CA 94025,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Menlo Park,57.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0014: 14 Hacker Way Menlo Park CA 94025,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Menlo Park,70.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0016: 16 Hacker Way Menlo Park CA 94025,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Menlo Park,79.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0017: 17 Hacker Way Menlo Park CA 94025,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Menlo Park,25.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0018: 18 Hacker Way Menlo Park CA 94025,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Menlo Park,114.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0020: Meta Wy Menlo Park CA 94025,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Menlo Park,91.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0021: Meta Wy Menlo Park CA 94025,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Menlo Park,118.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0022: 305 Constitution Dr Menlo Park CA 94025,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Menlo Park,30.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0023: 300 Constitution Dr Menlo Park CA 94025,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Menlo Park,32.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0024: 200 Jefferson Dr Menlo Park CA 94025,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Menlo Park,15.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0026: 180 Jefferson Dr Menlo Park CA 94025,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Menlo Park,57.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0028: 164 Jefferson Dr Menlo Park CA 94025,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Menlo Park,35.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0029: 220 Jefferson Dr Menlo Park CA 94025,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Menlo Park,42.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0062: 105 Constitution Dr Menlo Park CA 94025,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Menlo Park,53.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0063: 135 Constitution Dr Menlo Park CA 94025,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Sunnyvale,63.0,2023-05-08,06/23/2023,Layoff Permanent,,,,Santa Clara County,,SUN0101: 1190 Discovery Wy Sunnyvale CA 94089,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Sunnyvale,17.0,2023-05-08,06/23/2023,Layoff Permanent,,,,Santa Clara County,,SUN0102: 1180 Discovery Wy Sunnyvale CA 94089,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Sunnyvale,119.0,2023-05-08,06/23/2023,Layoff Permanent,,,,Santa Clara County,,SUN0103: 900 Discovery Wy Sunnyvale CA 94089,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",San Francisco,127.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Francisco County,,SAF0181: 181 Fremont Street San Francisco CA 94105,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",San Francisco,19.0,2023-05-08,06/23/2023,Layoff Permanent,,,,San Francisco County,,SAF0250: 250 Howard St San Francisco CA 94105,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Burlingame,44.0,2023-05-04,06/23/2023,Layoff Permanent,,,,San Mateo County,,BUR0101: 333 Airport Blvd Burlingame CA 94010,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Burlingame,27.0,2023-05-04,06/23/2023,Layoff Permanent,,,,San Mateo County,,BUR0102: 322 Airport Blvd Burlingame CA 94010,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Burlingame,40.0,2023-05-04,06/23/2023,Layoff Permanent,,,,San Mateo County,,BUR0103: 312 Airport Blvd Burlingame CA 94010,,,,2023-05,5.0,May
California,"Meta Platforms, Inc.",Burlingame,41.0,2023-05-04,06/23/2023,Layoff Permanent,,,,San Mateo County,,BUR0105: 311 Airport Blvde Burlingame CA 94010,,,,2023-05,5.0,May
California,Flagship Facility Services Inc. at Meta Platforms Inc.,Menlo Park,34.0,2023-01-10,03/06/2023,Layoff Permanent,,,,San Mateo County,,,,,,2023-01,1.0,January
California,Flagship Facility Services Inc. at Meta Platforms Inc.,Menlo Park,22.0,2023-01-10,03/06/2023,Layoff Permanent,,,,San Mateo County,,,,,,2023-01,1.0,January
California,Flagship Facility Services Inc. at Meta Platforms Inc.,Menlo Park,9.0,2023-01-10,03/06/2023,Layoff Permanent,,,,San Mateo County,,,,,,2023-01,1.0,January
California,Flagship Facility Services Inc. at Meta Platforms Inc.,Menlo Park,4.0,2023-01-10,03/06/2023,Layoff Permanent,,,,San Mateo County,,,,,,2023-01,1.0,January
California,Flagship Facility Services Inc. at Meta Platforms Inc.,Menlo Park,3.0,2023-01-10,03/06/2023,Layoff Permanent,,,,San Mateo County,,,,,,2023-01,1.0,January
California,Flagship Facility Services Inc. at Meta Platforms Inc.,Menlo Park,8.0,2023-01-10,03/06/2023,Layoff Permanent,,,,San Mateo County,,,,,,2023-01,1.0,January
California,Flagship Facility Services Inc. at Meta Platforms Inc.,Menlo Park,1.0,2023-01-10,03/06/2023,Layoff Permanent,,,,San Mateo County,,,,,,2023-01,1.0,January
California,Flagship Facility Services Inc. at Meta Platforms Inc.,Menlo Park,1.0,2023-01-10,03/06/2023,Layoff Permanent,,,,San Mateo County,,,,,,2023-01,1.0,January
California,Flagship Facility Services Inc. at Meta Platforms Inc.,Menlo Park,1.0,2023-01-10,03/06/2023,Layoff Permanent,,,,San Mateo County,,,,,,2023-01,1.0,January
California,Flagship Facility Services Inc. at Meta Platforms Inc.,Menlo Park,16.0,2023-01-10,03/06/2023,Layoff Permanent,,,,San Mateo County,,,,,,2023-01,1.0,January
California,Flagship Facility Services Inc. at Meta Platforms Inc.,Menlo Park,10.0,2023-01-10,03/06/2023,Layoff Permanent,,,,San Mateo County,,,,,,2023-01,1.0,January
California,Flagship Facility Services Inc. at Meta Platforms Inc.,Menlo Park,17.0,2023-01-10,03/06/2023,Layoff Permanent,,,,San Mateo County,,,,,,2023-01,1.0,January
California,"Meta Platforms, Inc.",Fremont,25.0,2022-12-02,01/13/2023,Layoff Permanent,,,,Alameda County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Fremont,7.0,2022-12-02,01/13/2023,Layoff Permanent,,,,Alameda County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Fremont,64.0,2022-12-02,01/13/2023,Layoff Permanent,,,,Alameda County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Fremont,18.0,2022-12-02,01/13/2023,Layoff Permanent,,,,Alameda County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Fremont,13.0,2022-12-02,01/13/2023,Layoff Permanent,,,,Alameda County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Fremont,14.0,2022-12-02,01/13/2023,Layoff Permanent,,,,Alameda County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Fremont,3.0,2022-12-02,01/13/2023,Layoff Permanent,,,,Alameda County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Burlingame,67.0,2022-12-02,01/13/2023,Layoff Permanent,,,,San Mateo County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Burlingame,32.0,2022-12-02,01/13/2023,Layoff Permanent,,,,San Mateo County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Burlingame,34.0,2022-12-02,01/13/2023,Layoff Permanent,,,,San Mateo County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Burlingame,46.0,2022-12-02,01/13/2023,Layoff Permanent,,,,San Mateo County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Menlo Park,85.0,2022-12-02,01/13/2023,Layoff Permanent,,,,San Mateo County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Menlo Park,32.0,2022-12-02,01/13/2023,Layoff Permanent,,,,San Mateo County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Menlo Park,139.0,2022-12-02,01/13/2023,Layoff Permanent,,,,San Mateo County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Menlo Park,241.0,2022-12-02,01/13/2023,Layoff Permanent,,,,San Mateo County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Menlo Park,140.0,2022-12-02,01/13/2023,Layoff Permanent,,,,San Mateo County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Menlo Park,142.0,2022-12-02,01/13/2023,Layoff Permanent,,,,San Mateo County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Menlo Park,60.0,2022-12-02,01/13/2023,Layoff Permanent,,,,San Mateo County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Menlo Park,632.0,2022-12-02,01/13/2023,Layoff Permanent,,,,San Mateo County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Menlo Park,77.0,2022-12-02,01/13/2023,Layoff Permanent,,,,San Mateo County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Menlo Park,94.0,2022-12-02,01/13/2023,Layoff Permanent,,,,San Mateo County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Sunnyvale,98.0,2022-12-02,01/13/2023,Layoff Permanent,,,,Santa Clara County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Sunnyvale,139.0,2022-12-02,01/13/2023,Layoff Permanent,,,,Santa Clara County,,,,,,2022-12,12.0,December
California,"Meta Platforms, Inc.",Los Angeles,162.0,2022-11-16,01/13/2023,Layoff Permanent,,,,Los Angeles County,,,,,,2022-11,11.0,November
California,"Meta Platforms, Inc.",San Francisco,362.0,2022-11-16,01/13/2023,Layoff Permanent,,,,San Francisco County,,,,,,2022-11,11.0,November
California,"Astreya Partners, LLC at Meta Platforms Inc. facility",Newark,144.0,2022-10-18,11/18/2022,Layoff Permanent,,,,Alameda County,,,,,,2022-10,10.0,October
California,"ABM Industry Groups, LLC dba Meta",Menlo Park,368.0,2022-07-11,07/24/2022,Layoff Permanent,,,,San Mateo County,,,,,,2022-07,7.0,July
California,Restec Contractors Inc. at Facebook 0250 29- 43,San Francisco,6.0,2020-04-29,03/17/2020,Layoff Temporary,,,,San Francisco County,,,,,,2020-04,4.0,April
California,Restec Contractors Inc. at Facebook FRE 114,Fremont,1.0,2020-04-29,03/17/2020,Layoff Temporary,,,,Alameda County,,,,,,2020-04,4.0,April
California,Restec Contractors Inc. at Facebook SUN101 HVAC,Sunnyvale,1.0,2020-04-29,03/17/2020,Layoff Temporary,,,,Santa Clara County,,,,,,2020-04,4.0,April
California,Anning-Johnson Company-Facebook,Sunnyvale,25.0,2020-04-27,03/17/2020,Layoff Temporary,,,,Santa Clara County,,,,,,2020-04,4.0,April
California,"Meta Platforms, Inc.",Los Angeles,35.0,2023-06-21,07/28/2023,Layoff Permanent,,,,Los Angeles County,,,,,,2023-06,6.0,June
California,"Meta Platforms, Inc.",Los Angeles,73.0,2023-06-21,07/28/2023,Layoff Permanent,,,,Los Angeles County,,,,,,2023-06,6.0,June
California,"Meta Platforms, Inc.",Sunnyvale,16.0,2023-06-21,07/28/2023,Layoff Permanent,,,,Santa Clara County,,,,,,2023-06,6.0,June
California,"Meta Platforms, Inc.",Sunnyvale,122.0,2023-06-21,07/28/2023,Layoff Permanent,,,,Santa Clara County,,,,,,2023-06,6.0,June
California,"Meta Platforms, Inc.",Sunnyvale,31.0,2023-06-21,07/28/2023,Layoff Permanent,,,,Santa Clara County,,,,,,2023-06,6.0,June
California,"Meta Platforms, Inc.",San Francisco,8.0,2023-06-21,07/28/2023,Layoff Permanent,,,,San Francisco County,,,,,,2023-06,6.0,June
California,"Meta Platforms, Inc.",San Francisco,304.0,2023-06-21,07/28/2023,Layoff Permanent,,,,San Francisco County,,,,,,2023-06,6.0,June
California,"Meta Platforms, Inc.",Fremont,19.0,2023-06-23,07/28/2023,Layoff Permanent,,,,Alameda County,,,,,,2023-06,6.0,June
California,"Meta Platforms, Inc.",Fremont,44.0,2023-06-23,07/28/2023,Layoff Permanent,,,,Alameda County,,,,,,2023-06,6.0,June
California,"Meta Platforms, Inc.",Fremont,8.0,2023-06-23,07/28/2023,Layoff Permanent,,,,Alameda County,,,,,,2023-06,6.0,June
